"city_depart","city_arrival","count","city_arrival_present","city_depart_present"
11001,23096,2,NA,NA
11001,23100,2,NA,NA
11001,23102,3,NA,NA
11001,23104,1,NA,NA
11001,24014,4,NA,NA
11001,24020,1,NA,NA
11001,24038,3,NA,NA
11001,24055,2,NA,NA
11001,24062,15,NA,NA
11001,24086,1,NA,NA
11001,24094,1,NA,NA
11001,24107,1,NA,NA
11001,24134,1,NA,NA
11001,25014,1,NA,NA
11001,25050,1,NA,NA
11001,25072,2,NA,NA
11001,25091,2,NA,NA
11001,25112,1,NA,NA
11001,25121,1,NA,NA
11001,31005,2,NA,NA
11001,31040,1,NA,NA
11001,31043,1,NA,NA
11001,34003,1,NA,NA
11001,34022,1,NA,NA
11001,34041,1,NA,NA
11001,34042,1,NA,NA
11001,36019,1,NA,NA
11001,38014,1,NA,NA
11001,38025,1,NA,NA
11001,41002,5,NA,NA
11001,41024,1,NA,NA
11001,41048,2,NA,NA
11001,42003,1,NA,NA
11001,42006,4,NA,NA
11001,42010,1,NA,NA
11001,42023,1,NA,NA
11001,43005,2,NA,NA
11001,44001,1,NA,NA
11001,44012,1,NA,NA
11001,44013,2,NA,NA
11001,44019,3,NA,NA
11001,44021,16,NA,NA
11001,44040,1,NA,NA
11001,44043,1,NA,NA
11001,44049,1,NA,NA
11001,44081,1,NA,NA
11001,45035,1,NA,NA
11001,45060,1,NA,NA
11001,46003,27,NA,NA
11001,46013,6,NA,NA
11001,46014,5,NA,NA
11001,46020,1,NA,NA
11001,46021,12,NA,NA
11001,46025,14,NA,NA
11001,52022,1,NA,NA
11001,52063,1,NA,NA
11001,62118,1,NA,NA
11001,63049,1,NA,NA
11001,71004,2,NA,NA
11001,71016,2,NA,NA
11001,71022,1,NA,NA
11001,71034,2,NA,NA
11001,71053,2,NA,NA
11001,71057,1,NA,NA
11001,72020,1,NA,NA
11001,72040,1,NA,NA
11001,73107,2,NA,NA
11001,92140,1,NA,NA
11002,11001,1158,NA,NA
11002,11002,88391,NA,NA
11002,11004,295,NA,NA
11002,11005,359,NA,NA
11002,11007,337,NA,NA
11002,11008,1380,NA,NA
11002,11009,283,NA,NA
11002,11013,1425,NA,NA
11002,11016,114,NA,NA
11002,11018,322,NA,NA
11002,11021,106,NA,NA
11002,11022,211,NA,NA
11002,11023,824,NA,NA
11002,11024,1392,NA,NA
11002,11025,91,NA,NA
11002,11029,1767,NA,NA
11002,11030,128,NA,NA
11002,11035,382,NA,NA
11002,11037,211,NA,NA
11002,11038,254,NA,NA
11002,11039,347,NA,NA
11002,11040,1789,NA,NA
11002,11044,393,NA,NA
11002,11050,1543,NA,NA
11002,11052,1341,NA,NA
11002,11053,98,NA,NA
11002,11054,116,NA,NA
11002,11055,167,NA,NA
11002,11056,985,NA,NA
11002,11057,230,NA,NA
11002,12002,50,NA,NA
11002,12005,29,NA,NA
11002,12007,194,NA,NA
11002,12009,222,NA,NA
11002,12014,80,NA,NA
11002,12021,575,NA,NA
11002,12025,1423,NA,NA
11002,12026,54,NA,NA
11002,12029,35,NA,NA
11002,12030,264,NA,NA
11002,12034,4,NA,NA
11002,12035,161,NA,NA
11002,12040,227,NA,NA
11002,13001,38,NA,NA
11002,13002,1,NA,NA
11002,13003,8,NA,NA
11002,13004,240,NA,NA
11002,13006,21,NA,NA
11002,13008,219,NA,NA
11002,13010,141,NA,NA
11002,13011,375,NA,NA
11002,13012,27,NA,NA
11002,13013,10,NA,NA
11002,13014,184,NA,NA
11002,13016,40,NA,NA
11002,13017,40,NA,NA
11002,13019,35,NA,NA
11002,13021,18,NA,NA
11002,13023,38,NA,NA
11002,13025,83,NA,NA
11002,13029,124,NA,NA
11002,13031,15,NA,NA
11002,13035,30,NA,NA
11002,13036,6,NA,NA
11002,13037,38,NA,NA
11002,13040,341,NA,NA
11002,13044,20,NA,NA
11002,13046,23,NA,NA
11002,13049,97,NA,NA
11002,13053,22,NA,NA
11002,21001,231,NA,NA
11002,21002,74,NA,NA
11002,21003,19,NA,NA
11002,21004,2457,NA,NA
11002,21005,171,NA,NA
11002,21006,320,NA,NA
11002,21007,94,NA,NA
11002,21008,17,NA,NA
11002,21009,339,NA,NA
11002,21010,65,NA,NA
11002,21011,12,NA,NA
11002,21012,166,NA,NA
11002,21013,144,NA,NA
11002,21014,118,NA,NA
11002,21015,422,NA,NA
11002,21016,73,NA,NA
11002,21017,68,NA,NA
11002,21018,222,NA,NA
11002,21019,65,NA,NA
11002,23002,99,NA,NA
11002,23003,29,NA,NA
11002,23009,2,NA,NA
11002,23016,97,NA,NA
11002,23024,1,NA,NA
11002,23025,111,NA,NA
11002,23027,32,NA,NA
11002,23032,1,NA,NA
11002,23033,5,NA,NA
11002,23038,16,NA,NA
11002,23039,18,NA,NA
11002,23044,5,NA,NA
11002,23045,129,NA,NA
11002,23047,451,NA,NA
11002,23050,28,NA,NA
11002,23052,5,NA,NA
11002,23060,3,NA,NA
11002,23062,24,NA,NA
11002,23077,27,NA,NA
11002,23081,61,NA,NA
11002,23086,32,NA,NA
11002,23088,399,NA,NA
11002,23094,786,NA,NA
11002,23096,31,NA,NA
11002,23097,5,NA,NA
11002,23098,12,NA,NA
11002,23099,9,NA,NA
11002,23100,5,NA,NA
11002,23101,5,NA,NA
11002,23102,50,NA,NA
11002,23104,4,NA,NA
11002,23105,1,NA,NA
11002,24001,30,NA,NA
11002,24008,2,NA,NA
11002,24009,4,NA,NA
11002,24011,7,NA,NA
11002,24014,41,NA,NA
11002,24016,2,NA,NA
11002,24020,25,NA,NA
11002,24028,1,NA,NA
11002,24033,16,NA,NA
11002,24038,9,NA,NA
11002,24043,4,NA,NA
11002,24045,2,NA,NA
11002,24048,7,NA,NA
11002,24054,1,NA,NA
11002,24055,45,NA,NA
11002,24062,440,NA,NA
11002,24066,4,NA,NA
11002,24086,5,NA,NA
11002,24094,10,NA,NA
11002,24104,11,NA,NA
11002,24107,9,NA,NA
11002,24109,7,NA,NA
11002,24134,8,NA,NA
11002,24135,1,NA,NA
11002,25005,7,NA,NA
11002,25014,8,NA,NA
11002,25015,2,NA,NA
11002,25031,1,NA,NA
11002,25037,1,NA,NA
11002,25050,17,NA,NA
11002,25072,9,NA,NA
11002,25084,1,NA,NA
11002,25091,6,NA,NA
11002,25105,8,NA,NA
11002,25110,20,NA,NA
11002,25112,13,NA,NA
11002,25117,1,NA,NA
11002,25119,3,NA,NA
11002,25120,1,NA,NA
11002,25121,20,NA,NA
11002,31003,3,NA,NA
11002,31004,2,NA,NA
11002,31005,49,NA,NA
11002,31022,5,NA,NA
11002,31033,4,NA,NA
11002,31040,3,NA,NA
11002,31043,8,NA,NA
11002,32003,4,NA,NA
11002,32006,2,NA,NA
11002,32010,1,NA,NA
11002,32011,4,NA,NA
11002,33011,4,NA,NA
11002,33021,1,NA,NA
11002,33029,1,NA,NA
11002,34002,2,NA,NA
11002,34009,1,NA,NA
11002,34013,5,NA,NA
11002,34022,23,NA,NA
11002,34023,6,NA,NA
11002,34025,1,NA,NA
11002,34027,1,NA,NA
11002,34040,6,NA,NA
11002,34041,3,NA,NA
11002,34042,6,NA,NA
11002,34043,1,NA,NA
11002,35002,2,NA,NA
11002,35005,1,NA,NA
11002,35006,1,NA,NA
11002,35011,1,NA,NA
11002,35013,17,NA,NA
11002,35029,5,NA,NA
11002,36006,2,NA,NA
11002,36008,7,NA,NA
11002,36011,4,NA,NA
11002,36015,9,NA,NA
11002,36019,1,NA,NA
11002,37002,2,NA,NA
11002,37015,3,NA,NA
11002,37017,3,NA,NA
11002,37020,5,NA,NA
11002,38002,1,NA,NA
11002,38008,3,NA,NA
11002,38014,9,NA,NA
11002,38016,1,NA,NA
11002,38025,1,NA,NA
11002,41002,49,NA,NA
11002,41011,7,NA,NA
11002,41018,5,NA,NA
11002,41024,2,NA,NA
11002,41027,1,NA,NA
11002,41034,1,NA,NA
11002,41048,5,NA,NA
11002,41063,3,NA,NA
11002,41081,4,NA,NA
11002,41082,4,NA,NA
11002,42003,2,NA,NA
11002,42004,16,NA,NA
11002,42006,48,NA,NA
11002,42008,20,NA,NA
11002,42010,3,NA,NA
11002,42011,11,NA,NA
11002,42023,10,NA,NA
11002,42025,15,NA,NA
11002,42026,1,NA,NA
11002,42028,54,NA,NA
11002,43002,1,NA,NA
11002,43005,5,NA,NA
11002,43007,1,NA,NA
11002,43010,11,NA,NA
11002,43018,20,NA,NA
11002,44001,2,NA,NA
11002,44011,6,NA,NA
11002,44012,1,NA,NA
11002,44013,9,NA,NA
11002,44019,8,NA,NA
11002,44020,4,NA,NA
11002,44021,558,NA,NA
11002,44034,8,NA,NA
11002,44036,4,NA,NA
11002,44040,8,NA,NA
11002,44043,17,NA,NA
11002,44045,6,NA,NA
11002,44048,15,NA,NA
11002,44049,5,NA,NA
11002,44064,14,NA,NA
11002,44073,2,NA,NA
11002,44080,1,NA,NA
11002,44081,3,NA,NA
11002,45017,1,NA,NA
11002,45035,5,NA,NA
11002,45041,3,NA,NA
11002,45060,3,NA,NA
11002,45061,1,NA,NA
11002,46003,838,NA,NA
11002,46013,154,NA,NA
11002,46014,101,NA,NA
11002,46020,34,NA,NA
11002,46021,389,NA,NA
11002,46024,42,NA,NA
11002,46025,178,NA,NA
11002,52011,17,NA,NA
11002,52021,2,NA,NA
11002,52022,1,NA,NA
11002,52043,3,NA,NA
11002,52048,1,NA,NA
11002,52063,5,NA,NA
11002,53014,1,NA,NA
11002,53020,1,NA,NA
11002,53053,10,NA,NA
11002,54007,1,NA,NA
11002,55004,1,NA,NA
11002,55022,2,NA,NA
11002,57062,1,NA,NA
11002,57081,3,NA,NA
11002,61019,1,NA,NA
11002,61068,2,NA,NA
11002,62003,1,NA,NA
11002,62015,1,NA,NA
11002,62032,1,NA,NA
11002,62051,3,NA,NA
11002,62063,14,NA,NA
11002,62118,1,NA,NA
11002,62121,1,NA,NA
11002,63023,2,NA,NA
11002,63035,1,NA,NA
11002,63061,1,NA,NA
11002,63079,2,NA,NA
11002,64056,1,NA,NA
11002,64076,1,NA,NA
11002,71004,21,NA,NA
11002,71011,9,NA,NA
11002,71016,39,NA,NA
11002,71017,1,NA,NA
11002,71020,3,NA,NA
11002,71022,69,NA,NA
11002,71024,5,NA,NA
11002,71034,38,NA,NA
11002,71037,10,NA,NA
11002,71053,19,NA,NA
11002,71057,36,NA,NA
11002,71066,2,NA,NA
11002,71069,5,NA,NA
11002,71070,15,NA,NA
11002,72003,3,NA,NA
11002,72004,3,NA,NA
11002,72018,3,NA,NA
11002,72020,19,NA,NA
11002,72021,1,NA,NA
11002,72025,3,NA,NA
11002,72029,10,NA,NA
11002,72030,16,NA,NA
11002,72037,2,NA,NA
11002,72038,2,NA,NA
11002,72039,20,NA,NA
11002,72041,4,NA,NA
11002,73001,2,NA,NA
11002,73006,4,NA,NA
11002,73032,1,NA,NA
11002,73042,4,NA,NA
11002,73083,7,NA,NA
11002,73107,9,NA,NA
11002,81004,1,NA,NA
11002,82003,1,NA,NA
11002,83028,1,NA,NA
11002,91120,1,NA,NA
11002,92035,2,NA,NA
11002,92094,7,NA,NA
11002,92097,1,NA,NA
11002,92137,1,NA,NA
11002,92138,1,NA,NA
11002,92140,2,NA,NA
11004,11001,38,NA,NA
11004,11002,1511,NA,NA
11004,11004,662,NA,NA
11004,11005,15,NA,NA
11004,11007,37,NA,NA
11004,11008,21,NA,NA
11004,11009,12,NA,NA
11004,11013,114,NA,NA
11004,11016,1,NA,NA
11004,11018,9,NA,NA
11004,11021,59,NA,NA
11004,11023,10,NA,NA
11004,11024,141,NA,NA
11004,11025,18,NA,NA
11004,11029,310,NA,NA
11004,11030,3,NA,NA
11004,11035,49,NA,NA
11004,11037,17,NA,NA
11004,11038,5,NA,NA
11004,11039,11,NA,NA
11004,11040,31,NA,NA
11004,11044,6,NA,NA
11004,11050,40,NA,NA
11004,11052,81,NA,NA
11004,11053,1,NA,NA
11004,11054,11,NA,NA
11004,11055,5,NA,NA
11004,11056,21,NA,NA
11004,11057,7,NA,NA
11004,12002,13,NA,NA
11004,12005,1,NA,NA
11004,12007,4,NA,NA
11004,12009,36,NA,NA
11004,12014,9,NA,NA
11004,12021,195,NA,NA
11004,12025,74,NA,NA
11004,12026,11,NA,NA
11004,12029,3,NA,NA
11004,12030,12,NA,NA
11004,12035,22,NA,NA
11004,12040,10,NA,NA
11004,13001,1,NA,NA
11004,13004,11,NA,NA
11004,13006,1,NA,NA
11004,13008,10,NA,NA
11004,13010,8,NA,NA
11004,13011,11,NA,NA
11004,13013,3,NA,NA
11004,13014,1,NA,NA
11004,13016,2,NA,NA
11004,13017,1,NA,NA
11004,13021,1,NA,NA
11004,13023,4,NA,NA
11004,13025,4,NA,NA
11004,13029,5,NA,NA
11004,13037,1,NA,NA
11004,13040,15,NA,NA
11004,13044,1,NA,NA
11004,13046,1,NA,NA
11004,13053,1,NA,NA
11004,21001,11,NA,NA
11004,21002,1,NA,NA
11004,21003,1,NA,NA
11004,21004,85,NA,NA
11004,21005,3,NA,NA
11004,21006,14,NA,NA
11004,21007,3,NA,NA
11004,21009,9,NA,NA
11004,21012,2,NA,NA
11004,21013,5,NA,NA
11004,21014,4,NA,NA
11004,21015,8,NA,NA
11004,21016,3,NA,NA
11004,21017,2,NA,NA
11004,21018,8,NA,NA
11004,21019,2,NA,NA
11004,23002,3,NA,NA
11004,23016,4,NA,NA
11004,23025,2,NA,NA
11004,23045,2,NA,NA
11004,23047,14,NA,NA
11004,23050,1,NA,NA
11004,23062,1,NA,NA
11004,23081,2,NA,NA
11004,23086,2,NA,NA
11004,23088,12,NA,NA
11004,23094,28,NA,NA
11004,23096,1,NA,NA
11004,23098,1,NA,NA
11004,23100,1,NA,NA
11004,23102,2,NA,NA
11004,24001,3,NA,NA
11004,24007,1,NA,NA
11004,24009,1,NA,NA
11004,24020,1,NA,NA
11004,24038,2,NA,NA
11004,24055,1,NA,NA
11004,24062,21,NA,NA
11004,24094,1,NA,NA
11004,24104,1,NA,NA
11004,24109,1,NA,NA
11004,25072,1,NA,NA
11004,25091,1,NA,NA
11004,31005,1,NA,NA
11004,31022,1,NA,NA
11004,31040,1,NA,NA
11004,35013,1,NA,NA
11004,36011,1,NA,NA
11004,41002,1,NA,NA
11004,41018,1,NA,NA
11004,43018,2,NA,NA
11004,44019,1,NA,NA
11004,44021,13,NA,NA
11004,44040,1,NA,NA
11004,46003,18,NA,NA
11004,46013,4,NA,NA
11004,46014,2,NA,NA
11004,46020,1,NA,NA
11004,46021,6,NA,NA
11004,46025,1,NA,NA
11004,55023,1,NA,NA
11004,71004,1,NA,NA
11004,71011,1,NA,NA
