"city_depart","city_arrival","count","city_arrival_present","city_depart_present"
21009,34022,2,NA,NA
21009,35013,1,NA,NA
21009,41002,6,NA,NA
21009,44021,28,NA,NA
21009,46003,2,NA,NA
21009,46021,2,NA,NA
21009,52011,101,NA,NA
21009,53053,34,NA,NA
21009,55022,15,NA,NA
21009,57081,12,NA,NA
21009,62003,3,NA,NA
21009,62051,7,NA,NA
21009,62063,26,NA,NA
21009,62096,1,NA,NA
21009,71004,1,NA,NA
21009,71016,3,NA,NA
21009,71022,3,NA,NA
21009,81001,5,NA,NA
21009,83034,1,NA,NA
21009,92094,78,NA,NA
21015,11002,173,NA,NA
21015,12025,50,NA,NA
21015,13040,3,NA,NA
21015,21001,796,NA,NA
21015,21004,5822,NA,NA
21015,21009,1511,NA,NA
21015,21015,4231,NA,NA
21015,21016,516,NA,NA
21015,24062,102,NA,NA
21015,31005,7,NA,NA
21015,34022,2,NA,NA
21015,35013,7,NA,NA
21015,36015,2,NA,NA
21015,41002,24,NA,NA
21015,44021,49,NA,NA
21015,46021,1,NA,NA
21015,52011,73,NA,NA
21015,53053,36,NA,NA
21015,55022,12,NA,NA
21015,57081,16,NA,NA
21015,62003,1,NA,NA
21015,62051,8,NA,NA
21015,62063,36,NA,NA
21015,62096,6,NA,NA
21015,63079,1,NA,NA
21015,71004,5,NA,NA
21015,71016,3,NA,NA
21015,71022,4,NA,NA
21015,83034,1,NA,NA
21015,92094,59,NA,NA
21015,92137,2,NA,NA
21016,11002,93,NA,NA
21016,12014,1,NA,NA
21016,12025,26,NA,NA
21016,21001,918,NA,NA
21016,21004,4594,NA,NA
21016,21009,1854,NA,NA
21016,21015,451,NA,NA
21016,21016,4485,NA,NA
21016,24062,39,NA,NA
21016,31005,2,NA,NA
21016,34022,2,NA,NA
21016,41002,9,NA,NA
21016,44021,21,NA,NA
21016,46003,2,NA,NA
21016,46021,2,NA,NA
21016,52011,108,NA,NA
21016,53053,30,NA,NA
21016,55022,28,NA,NA
21016,57081,10,NA,NA
21016,62003,1,NA,NA
21016,62051,3,NA,NA
21016,62063,24,NA,NA
21016,62096,1,NA,NA
21016,63079,1,NA,NA
21016,71004,1,NA,NA
21016,71016,1,NA,NA
21016,71022,3,NA,NA
21016,81001,1,NA,NA
21016,83034,1,NA,NA
21016,92094,46,NA,NA
21016,92137,3,NA,NA
24062,11002,607,NA,NA
24062,12014,46,NA,NA
24062,12025,598,NA,NA
24062,13040,26,NA,NA
24062,21001,264,NA,NA
24062,21004,3345,NA,NA
24062,21009,355,NA,NA
24062,21015,590,NA,NA
24062,21016,91,NA,NA
24062,24062,17904,NA,NA
24062,31005,23,NA,NA
24062,34022,9,NA,NA
24062,35013,3,NA,NA
24062,36015,2,NA,NA
24062,41002,24,NA,NA
24062,44021,86,NA,NA
24062,46003,10,NA,NA
24062,46021,20,NA,NA
24062,52011,12,NA,NA
24062,53053,10,NA,NA
24062,57081,1,NA,NA
24062,62003,1,NA,NA
24062,62051,2,NA,NA
24062,62063,20,NA,NA
24062,62096,3,NA,NA
24062,63079,2,NA,NA
24062,71004,14,NA,NA
24062,71016,81,NA,NA
24062,71022,231,NA,NA
24062,92094,10,NA,NA
31005,11002,219,NA,NA
31005,12014,2,NA,NA
31005,12025,20,NA,NA
31005,13040,3,NA,NA
31005,21001,51,NA,NA
31005,21004,917,NA,NA
31005,21009,72,NA,NA
31005,21015,130,NA,NA
31005,21016,20,NA,NA
31005,24062,61,NA,NA
31005,31005,26147,NA,NA
31005,34022,281,NA,NA
31005,35013,1058,NA,NA
31005,36015,390,NA,NA
31005,41002,37,NA,NA
31005,44021,1212,NA,NA
31005,46003,7,NA,NA
31005,46021,14,NA,NA
31005,52011,3,NA,NA
31005,53053,1,NA,NA
31005,55022,1,NA,NA
31005,57081,6,NA,NA
31005,62063,2,NA,NA
31005,71004,1,NA,NA
31005,71016,2,NA,NA
31005,71022,3,NA,NA
31005,92094,1,NA,NA
34022,11002,85,NA,NA
34022,12014,3,NA,NA
34022,12025,21,NA,NA
34022,13040,5,NA,NA
34022,21001,18,NA,NA
34022,21004,368,NA,NA
34022,21009,32,NA,NA
34022,21015,46,NA,NA
34022,21016,11,NA,NA
34022,24062,32,NA,NA
34022,31005,215,NA,NA
34022,34022,12921,NA,NA
34022,35013,46,NA,NA
34022,36015,493,NA,NA
34022,41002,19,NA,NA
34022,44021,532,NA,NA
34022,46003,6,NA,NA
34022,46021,11,NA,NA
34022,53053,6,NA,NA
34022,55022,1,NA,NA
34022,57081,87,NA,NA
34022,62063,1,NA,NA
34022,71016,2,NA,NA
34022,71022,3,NA,NA
35013,11002,117,NA,NA
35013,12014,2,NA,NA
35013,12025,12,NA,NA
35013,13040,2,NA,NA
35013,21001,35,NA,NA
35013,21004,401,NA,NA
35013,21009,40,NA,NA
35013,21015,37,NA,NA
35013,21016,9,NA,NA
35013,24062,18,NA,NA
35013,31005,1584,NA,NA
35013,34022,96,NA,NA
35013,35013,12258,NA,NA
35013,36015,105,NA,NA
35013,41002,25,NA,NA
35013,44021,435,NA,NA
35013,46003,6,NA,NA
35013,46021,11,NA,NA
35013,52011,2,NA,NA
35013,53053,3,NA,NA
35013,57081,7,NA,NA
35013,62063,2,NA,NA
35013,71016,1,NA,NA
35013,71022,2,NA,NA
35013,81001,2,NA,NA
35013,92094,2,NA,NA
36015,11002,27,NA,NA
36015,12014,1,NA,NA
36015,12025,13,NA,NA
36015,13040,1,NA,NA
36015,21001,8,NA,NA
36015,21004,112,NA,NA
36015,21009,18,NA,NA
36015,21015,19,NA,NA
36015,24062,15,NA,NA
36015,31005,443,NA,NA
36015,34022,668,NA,NA
36015,35013,109,NA,NA
36015,36015,11524,NA,NA
36015,41002,13,NA,NA
36015,44021,195,NA,NA
36015,46003,4,NA,NA
36015,46021,1,NA,NA
36015,53053,2,NA,NA
36015,57081,10,NA,NA
41002,11002,212,NA,NA
41002,12014,2,NA,NA
41002,12025,107,NA,NA
41002,13040,5,NA,NA
41002,21001,320,NA,NA
41002,21004,3065,NA,NA
41002,21009,310,NA,NA
41002,21015,334,NA,NA
41002,21016,65,NA,NA
41002,24062,73,NA,NA
41002,31005,42,NA,NA
41002,34022,23,NA,NA
41002,35013,11,NA,NA
41002,36015,10,NA,NA
41002,41002,12077,NA,NA
41002,44021,1090,NA,NA
41002,46003,13,NA,NA
41002,46021,73,NA,NA
41002,52011,3,NA,NA
41002,53053,2,NA,NA
41002,57081,2,NA,NA
41002,62063,2,NA,NA
41002,63079,1,NA,NA
41002,71016,1,NA,NA
41002,71022,4,NA,NA
41002,92094,1,NA,NA
44021,11002,1428,NA,NA
44021,12014,7,NA,NA
44021,12025,202,NA,NA
44021,13040,7,NA,NA
44021,21001,316,NA,NA
44021,21004,3260,NA,NA
44021,21009,315,NA,NA
44021,21015,449,NA,NA
44021,21016,84,NA,NA
44021,24062,173,NA,NA
44021,31005,591,NA,NA
44021,34022,333,NA,NA
44021,35013,152,NA,NA
44021,36015,106,NA,NA
44021,41002,537,NA,NA
44021,44021,50825,NA,NA
44021,46003,119,NA,NA
44021,46021,495,NA,NA
44021,52011,5,NA,NA
44021,53053,11,NA,NA
44021,55022,1,NA,NA
44021,57081,18,NA,NA
44021,62051,2,NA,NA
44021,62063,2,NA,NA
44021,63079,1,NA,NA
44021,71016,12,NA,NA
44021,71022,7,NA,NA
44021,81001,2,NA,NA
44021,92094,5,NA,NA
46003,11002,4388,NA,NA
46003,12014,8,NA,NA
46003,12025,110,NA,NA
46003,13040,6,NA,NA
46003,21001,10,NA,NA
46003,21004,162,NA,NA
46003,21009,18,NA,NA
46003,21015,19,NA,NA
46003,21016,16,NA,NA
46003,24062,30,NA,NA
46003,31005,14,NA,NA
46003,34022,5,NA,NA
46003,35013,1,NA,NA
46003,36015,7,NA,NA
46003,41002,10,NA,NA
46003,44021,166,NA,NA
46003,46003,5810,NA,NA
46003,46021,1406,NA,NA
46003,62003,1,NA,NA
46003,62096,1,NA,NA
46003,71004,4,NA,NA
46003,71016,6,NA,NA
46003,71022,1,NA,NA
46003,92137,1,NA,NA
46021,11002,2796,NA,NA
46021,12014,3,NA,NA
46021,12025,151,NA,NA
46021,13040,7,NA,NA
46021,21001,29,NA,NA
46021,21004,397,NA,NA
46021,21009,30,NA,NA
46021,21015,56,NA,NA
46021,21016,6,NA,NA
46021,24062,55,NA,NA
46021,31005,24,NA,NA
46021,34022,13,NA,NA
46021,35013,9,NA,NA
46021,36015,6,NA,NA
46021,41002,52,NA,NA
46021,44021,704,NA,NA
46021,46003,1112,NA,NA
46021,46021,11725,NA,NA
46021,52011,1,NA,NA
46021,62063,1,NA,NA
46021,71004,3,NA,NA
46021,71022,1,NA,NA
46021,81001,1,NA,NA
